MODALIDADE,SITUACAO_CONTA,QTD_TA,EMENDAS,QTD_PRORROGA,UF_PROPONENTE,PERC_CONTRA,PERC_REPASSE,SITUACAO_PROJETO_BASICO,PERC_DESEMBOLSADO,QTDE_CONVENIOS,TARGET
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.0199999964781251,0.979999976725,Aprovado,0.979999976725,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.020450262160738,0.979549713241194,Aprovado,0.979549713241194,1,1
CONVENIO,Regularizada,0.0,0.0,2.0,MA,0.0101522842639594,0.989847715736041,Aprovado,0.989847715736041,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,MG,0.0505126713544737,0.949487291204254,Em Análise,0.949487291204254,1,1
CONVENIO,Regularizada,1.0,0.0,4.0,MA,0.0200000006443626,0.980000015464703,Aprovado,0.783999986597258,1,1
CONVENIO,Erro na Abertura de Conta,1.0,0.0,4.0,MA,0.0200000006761772,0.980000001202093,Aprovado,0.391999988459909,1,1
CONVENIO,Regularizada,1.0,0.0,5.0,MA,0.0200000025252103,0.980000103894365,Aprovado,0.980000103894365,1,1
CONVENIO,Regularizada,0.0,1.0,3.0,AM,0.0251643618227159,0.974835638177284,Aprovado,0.974835638177284,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.0200000037190531,0.98000000661165,Aprovado,0.98000000661165,1,1
CONVENIO,Regularizada,1.0,1.0,3.0,CE,0.218939138763268,0.781060836828581,Aprovado,0.0,1,1
CONVENIO,Regularizada,0.0,1.0,1.0,RR,0.0199999946953123,0.980000036750001,Aprovado,0.980000036750001,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,CE,0.0,1.0,Em Análise,1.0,1,1
CONTRATO DE REPASSE,Regularizada,4.0,1.0,0.0,MA,0.025,0.975,Aprovado,0.0,1,1
CONVENIO,Regularizada,1.0,1.0,4.0,PB,0.0202702702702703,0.97972972972973,Aprovado,0.915075,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,AP,0.0205680705190989,0.979431929480901,Aprovado,0.979431929480901,1,1
CONVENIO,Regularizada,0.0,1.0,5.0,AM,0.0949194206760228,0.905080579323977,Aprovado,0.905080579323977,1,1
CONVENIO,Regularizada,0.0,1.0,5.0,AM,0.024390243902439,0.975609756097561,Aprovado,0.975609756097561,1,1
CONTRATO DE REPASSE,Regularizada,0.0,1.0,0.0,SP,0.0,1.0,Não Cadastrado,0.0,1,1
CONVENIO,Regularizada,2.0,1.0,1.0,ES,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,AM,0.025974025974026,0.974025974025974,Aprovado,0.974025974025974,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,SE,0.02,0.98,Aprovado,0.98,1,1
CONVENIO,Regularizada,1.0,0.0,0.0,SP,0.01001023995968,0.989989786996095,Em Análise,0.989989786996095,1,1
CONVENIO,Regularizada,0.0,1.0,3.0,AM,0.0202482037883736,0.979751796211626,Aprovado,0.979751796211626,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,MA,0.0512333965844402,0.94876660341556,Aprovado,0.47438330170778,1,1
CONVENIO,Regularizada,0.0,1.0,5.0,AM,0.024390243902439,0.975609756097561,Aprovado,0.975609756097561,1,1
CONVENIO,Regularizada,2.0,0.0,2.0,MG,0.105965111143767,0.894034868013858,Aprovado,0.894034868013858,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,MG,0.0,1.0,Aprovado,1.0,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,AM,0.0265486725663717,0.973451327433628,Aprovado,0.973451327433628,1,1
CONVENIO,Regularizada,0.0,1.0,5.0,AC,0.0200081665986117,0.979991833401388,Aprovado,0.979991833401388,1,1
CONTRATO DE REPASSE,Regularizada,0.0,1.0,0.0,SP,0.0999766253555958,0.900023331374052,Não Cadastrado,0.0,1,1
CONVENIO,Regularizada,0.0,0.0,1.0,MA,0.05,0.95,Em Análise,0.95,1,1
CONVENIO,Regularizada,0.0,1.0,7.0,MA,0.0566037735849057,0.943396226415094,Aprovado,0.943396226415094,1,1
CONVENIO,Regularizada,1.0,0.0,2.0,BA,0.0521327014218009,0.947867298578199,Aprovado,0.947867298578199,1,1
CONVENIO,Regularizada,1.0,0.0,1.0,PR,0.104477611940299,0.895522388059702,Em Análise,0.0,1,1
CONVENIO,Regularizada,2.0,0.0,0.0,MG,0.0200036847861452,0.979996315213855,Aprovado,0.489998157606927,1,1
CONVENIO,Regularizada,3.0,0.0,0.0,BA,0.100828103683493,0.899171896316508,Não Cadastrado,0.0,1,1
CONVENIO,Regularizada,3.0,0.0,0.0,BA,0.100000002103266,0.899999966347744,Não Cadastrado,0.0,1,1
CONVENIO,Regularizada,0.0,0.0,0.0,MA,0.101796407185629,0.898203592814371,Aprovado,0.898203592814371,1,1
CONVENIO,Regularizada,1.0,0.0,0.0,MA,0.0328152449534415,0.967184751268493,Aprovado,0.483592375634247,1,1
CONTRATO DE REPASSE,Regularizada,2.0,0.0,0.0,AL,0.0500030874899657,0.949996912510034,Não Cadastrado,0.0,1,1
CONVENIO,Regularizada,0.0,0.0,5.0,GO,0.0499999985110653,0.950000023822955,Em Complementação,0.0,1,1
CONVENIO,Regularizada,1.0,0.0,0.0,MT,0.036144578313253,0.963855421686747,Em Análise,0.0,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,RR,0.0199999964781251,0.979999976725,Aprovado,0.979999976725,1,1
CONVENIO,Regularizada,0.0,1.0,4.0,AM,0.0201729106628242,0.979827089337176,Aprovado,0.979827089337176,1,1
CONVENIO,Regularizada,1.0,1.0,1.0,MG,0.0457187790273726,0.954281220972627,Aprovado,0.954281220972627,1,1
CONVENIO,Regularizada,0.0,0.0,2.0,RN,0.0907133325245663,0.909286667475434,Aguardando,0.0,1,1
